기업명,거래소코드,기업유형,회계년도,이익 과대계상 (비용 과소계상)
퍼시픽바이오(주),60900,코스닥,2012,1
퍼시픽바이오(주),60900,코스닥,2013,1
퍼시픽바이오(주),60900,코스닥,2014,1
퍼시픽바이오(주),60900,코스닥,2015,1
(주)프로텍,53610,코스닥,2013,0
(주)프로텍,53610,코스닥,2014,0
(주)프로텍,53610,코스닥,2015,0
(주)프로텍,53610,코스닥,2016,0
(주)프로텍,53610,코스닥,2017,0
(주)프로텍,53610,코스닥,2018,0
(주)프로텍,53610,코스닥,2019,0
(주)상상인인더스트리,101000,코스닥,2017,1
(주)상상인인더스트리,101000,코스닥,2018,1
(주)상상인인더스트리,101000,코스닥,2019,1
(주)이엠따블유,79190,코스닥,2016,1
(주)이엠따블유,79190,코스닥,2017,1
(주)위너지스 / [구](주)카테아,26260,코스닥,2015,1
(주)위너지스 / [구](주)카테아,26260,코스닥,2016,1
대우조선해양(주),42660,코스피,2012,1
대우조선해양(주),42660,코스피,2013,1
대우조선해양(주),42660,코스피,2014,1
대우조선해양(주),42660,코스피,2015,1
(주)에스제이엠,123700,코스피,2012,1
(주)에스제이엠,123700,코스피,2013,1
(주)에스제이엠,123700,코스피,2014,1
(주)에스제이엠,123700,코스피,2015,1
(주)에스제이엠홀딩스,25530,코스피,2012,1
(주)에스제이엠홀딩스,25530,코스피,2013,1
(주)에스제이엠홀딩스,25530,코스피,2014,1
(주)에스제이엠홀딩스,25530,코스피,2015,1
(주)카스,16920,코스닥,2012,1
(주)카스,16920,코스닥,2013,1
한국항공우주산업(주),47810,코스피,2012,1
한국항공우주산업(주),47810,코스피,2013,1
한국항공우주산업(주),47810,코스피,2014,1
한국항공우주산업(주),47810,코스피,2015,1
한국항공우주산업(주),47810,코스피,2016,1
한국항공우주산업(주),47810,코스피,2017,1
알서포트(주),131370,코스닥,2015,1
알서포트(주),131370,코스닥,2016,1
(주)기가레인,49080,코스닥,2014,1
(주)기가레인,49080,코스닥,2015,1
(주)기가레인,49080,코스닥,2016,1
(주)기가레인,49080,코스닥,2017,1
(주)기가레인,49080,코스닥,2018,1
(주)기가레인,49080,코스닥,2019,1
경남제약(주),53950,코스닥,2012,1
경남제약(주),53950,코스닥,2013,1
코스모화학(주),5420,코스피,2012,0
코스모화학(주),5420,코스피,2013,0
코스모화학(주),5420,코스피,2014,0
코스모화학(주),5420,코스피,2015,0
코스모화학(주),5420,코스피,2016,0
코스모화학(주),5420,코스피,2017,0
(주)파이오링크,170790,코스닥,2012,1
(주)파이오링크,170790,코스닥,2013,1
(주)파이오링크,170790,코스닥,2014,1
(주)씨젠,96530,코스닥,2012,1
(주)씨젠,96530,코스닥,2013,1
(주)씨젠,96530,코스닥,2014,1
(주)씨젠,96530,코스닥,2015,1
(주)씨젠,96530,코스닥,2016,1
(주)씨젠,96530,코스닥,2017,1
(주)씨젠,96530,코스닥,2018,1
(주)한일진공(뉴온),123840,코스닥,2016,0
(주)한일진공,123840,코스닥,2017,0
(주)예스코홀딩스,15360,코스피,2018,1
(주)엘앤에프,66970,코스닥,2012,1
(주)엘앤에프,66970,코스닥,2013,1
(주)엘앤에프,66970,코스닥,2014,1
(주)케이지모빌리언스,46440,코스닥,2012,0
(주)케이지모빌리언스,46440,코스닥,2013,0
(주)케이지모빌리언스,46440,코스닥,2014,0
(주)케이지모빌리언스,46440,코스닥,2015,0
(주)케이지이니시스,35600,코스닥,2014,0
(주)케이지이니시스,35600,코스닥,2015,0
KG케미칼(주),1390,코스피,2015,0
참엔지니어링(주),9310,코스피,2012,1
참엔지니어링(주),9310,코스피,2013,1
참엔지니어링(주),9310,코스피,2014,1
(주)씨씨에스충북방송,66790,코스닥,2014,1
(주)씨씨에스충북방송,66790,코스닥,2015,1
(주)씨씨에스충북방송,66790,코스닥,2016,1
(주)씨씨에스충북방송,66790,코스닥,2017,1
