회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,부가가치(IFRS)(백만원),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS)
현대건설(주),720,2016,1,41,64102,  종합 건설업 ,1984-12-22,,2774105.0,981478.0,1594513.0,6913.0,0.0,0.0,190461.0,7034.0
(주)광림,14200,2019,6,30,33001,  자동차 및 트레일러 제조업 ,1993-07-07,,-27863.28,-3612.22,-23863.64,4422.75,-194.64,0.0,5253.06,187.0
(주)광무,29480,2012,5,26,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",1996-08-27,,2867.93,-9927.79,8334.17,938.85,766.78,0.0,2755.93,132.0
(주)광무,29480,2013,5,26,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",1996-08-27,,-19191.93,-28676.75,6095.68,1226.2,417.96,0.0,2218.94,37.0
(주)기가레인,49080,2014,5,26,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2013-12-19,,28620.93,8222.54,12923.57,770.04,0.0,0.0,6704.78,377.0
(주)기가레인,49080,2015,5,26,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2013-12-19,,9658.87,-18364.1,17811.02,1082.95,0.0,0.0,9129.01,364.0
(주)기가레인,49080,2016,5,26,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2013-12-19,,18559.19,-11312.09,18175.93,1959.79,0.0,0.0,9785.16,350.0
(주)기가레인,49080,2017,5,26,32902,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2013-12-19,,23651.93,988.78,13332.43,2469.73,0.0,0.0,8136.93,200.0
(주)기가레인,49080,2018,5,26,32902,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2013-12-19,,15054.46,-12527.04,16509.23,3226.01,0.0,0.0,7846.26,222.0
(주)기가레인,49080,2019,5,26,32902,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2013-12-19,,-16789.54,-45821.76,16267.14,3655.29,0.0,0.0,8875.05,199.0
(주)녹원씨엔아이,65560,2015,4,18,105802,  인쇄 및 기록매체 복제업 ,2003-07-01,2024/07/29,-4094.76,-6522.54,1550.47,428.15,0.0,0.0,449.16,35.0
(주)녹원씨엔아이,65560,2016,4,18,105802,  인쇄 및 기록매체 복제업 ,2003-07-01,2024/07/29,-8947.59,-11030.25,1123.44,689.67,0.0,0.0,269.56,26.0
(주)녹원씨엔아이,65560,2017,4,18,74607,  인쇄 및 기록매체 복제업 ,2003-07-01,2024/07/29,10130.26,2869.06,4359.22,2355.87,0.0,0.0,546.11,17.0
(주)녹원씨엔아이,65560,2018,4,18,74607,  인쇄 및 기록매체 복제업 ,2003-07-01,2024/07/29,26818.2,10040.37,11611.46,4319.68,0.0,0.0,846.68,107.0
