기업명,거래소코드,기업유형,결산기,이익 과대계상 (비용 과소계상),회사명,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,총자본증가율,유형자산증가율,비유동생물자산증가율,투자부동산증가율,비유동자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,종업원1인당 부가가치증가율,종업원수증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,총자본순이익률,자기자본정상영업이익률,자기자본순이익률,경영자본정상영업이익률,경영자본순이익률,자본금정상영업이익률,자본금순이익률,매출원가 대 매출액비율,영업비용 대 영업수익비율,기타손익비률,금융손익비율,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,세금과공과 대 세금과공과 차감전순이익률,기업순이익률,수지비율(관계기업투자손익 제외),인건비 대 총비용비율,R & D 투자효율,세금과공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,유보율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,1주당정상영업이익,유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,정상영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치,종업원1인당 부가가치,종업원1인당 매출액,종업원1인당 정상영업이익,종업원1인당 순이익,종업원1인당 인건비,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치,법인세비용차감전(계속사업)손익,인건비,금융비용,임차료,세금과공과,감가상각비,종업원1인당 부가가치,총자본투자효율,기계투자효율,부가가치율,종업원수
(주)이엠따블유,79190,코스닥,2017,1.0,(주)케스피온,5,26,32604,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2005/11/29,,3.7,-0.87,0.0,0,11.89,-6.65,10.36,17.86,-17.10,-88.49,-252.45,-140.68,,,,,23.25,0.67,-4.65,0.63,0.44,-3.05,0.99,-6.86,0.47,-3.27,3.28,-22.80,76.75,99.33,-4.90,-4.43,2.23,-2.19,0.93,0,-1.59,104.12,19.11,0,0.0,2.08,8.42,20.43,190.30,2.63,4.14,3.90,245.62,,,49.89,,,,"2,379.28",-117,19.25,,15.84,39.81,35.32,66.14,25.75,60.19,47.11,52.89,345.62,127.76,99.11,101.38,65.58,25.44,48.05,"2,593.82",112.97,155.68,42.54,112.25,83.34,77.78,28.91,"2,512.60",0.54,39.31,83.43,0.26,-0.90,33.48,2.45,63.95,88.41,142.17,9.66,13,5.11,7.93,0.30,0.66,0.7,1.48,4.92,1.18,12.83,28.46,1.56,2.32,4.81,75.87,11.80,27.10,11.69,9.75,37.45,1.13,1.41,0.82,0.58,0.01,"19,646.02",,,,,,,,,17.7,40.80,303.86,27.46,74.48,25.52,-16.93,"19,646.02","-3,027.28","14,631.88","1,593.18",0,0,"6,448.24",,17.7,303.86,27.46,
(주)위너지스 / [구](주)카테아,26260,코스닥,2015,1.0,(주)위너지스,4,46,74608,도매 및 상품 중개업,1996/09/24,2018/10/11,91.18,204.40,0.0,-19.93,94.88,88.70,"16,282.80",-18.32,258.28,0,0,0,,,,,42.09,-19.20,-88.72,-14.05,-14.42,-66.64,-29.58,-107.65,-17.84,-82.43,-40.20,-145.63,57.91,119.20,-69.53,-3.65,3.65,-0.26,2.76,0,-63.9,186.64,8.97,0,0.0,1.91,5.12,35.16,9.72,5.35,4.73,9.01,14.35,,,7.77,,,,"1,005.19",0,-578.38,,-192.99,59.03,16.73,144.09,49.15,40.97,31.66,68.34,114.25,129.39,55.84,221.62,184.54,20.11,255.54,30.49,497.26,564.83,51.39,215.83,84.13,25.23,131.71,128.73,32.39,50.04,158.04,-4.64,-23.32,2.61,0.09,78.95,54.19,149.79,-33.67,-45.98,-23.01,-40.22,-5.26,0.75,0.93,1.54,2.09,1.47,14.61,24.99,1.27,1.42,11.51,31.70,25.26,138.40,24.97,3.94,92.70,1.85,8.23,0.92,1.18,0.01,"-13,958.52",,,,,,,,,-33.26,-318.03,-629.84,-58.15,0,0,0,"-13,958.52","-21,298.75","4,114.09",875.62,0,0,"2,350.52",,-33.26,-629.84,-58.15,
대우조선해양(주),42660,코스피,2012,1.0,한화오션(주),1,31,33101,기타 운송장비 제조업,2001/02/02,,-6.17,-4.38,0.0,-59.36,-1.72,-11.53,59.31,-8.39,-2.31,0,0,-151.77,,,,,4.83,-0.53,-2.06,-0.45,-0.45,-1.74,-1.77,-5.59,-0.47,-1.8,-7.49,-24.20,95.17,100.53,-1.63,-0.1,0.0,0.0,0.0,0.0,-1.74,101.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.20,,,75.8,,,,"70,763.79","-1,231","-5,204.30",,-376.46,42.71,18.08,74.56,34.99,57.29,24.92,75.08,414.08,229.85,124.24,79.26,64.93,3.19,26.52,0,0,0,0,301.23,216.22,49.13,85.01,0,-11.18,31.29,125.55,"999,999,999","999,999,999",18.91,3.05,52.11,66.18,110.11,-4.27,-10.24,-3.2,-3.67,0,0.85,0.88,3.33,14.08,1.13,0.0,0.0,1.92,2.23,13.89,26.28,0,0,0,85.23,4.28,1.51,2.13,0.84,0.01,0.03,"-293,219.75",,,,,,,,,-1.89,-4.72,0,-2.17,0.0,0.0,0,"-293,219.75","-293,219.75",0,0,0,0,0,,-1.89,0,-2.17,
대우조선해양(주),42660,코스피,2013,1.0,한화오션(주),1,31,33101,기타 운송장비 제조업,2001/02/02,,8.16,-0.12,0.0,-2.63,-9.56,31.91,-1.37,-22.74,7.69,0,0,0,,,,,-0.15,-6.93,-6.31,-6.26,-6.26,-5.7,-29.73,-25.30,-6.53,-5.95,-105,-92.86,100.15,106.93,-0.78,-0.32,0.0,0.0,0.0,0.0,-5.7,107.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.03,,,67.51,,,,"76,204.46","-4,725","-6,258.97",,"-5,277.35",52.1,13.52,108.75,45.05,47.9,17.46,82.54,319.91,274.41,113.13,90.36,78.14,3.96,37.05,0,0,0,0,472.82,330.27,49.07,142.55,0,-5.56,40.94,234.50,"999,999,999","999,999,999",11.9,2.08,52.68,58.01,109.96,-7.92,-15.97,-6.54,-7.52,0,0.9,0.94,4.29,15.16,1.14,0.0,0.0,1.9,2.25,12.26,29.78,0,0,0,38.6,9.46,1.72,2.35,0.87,0.02,0.03,"-1,124,114.66",,,,,,,,,-6.7,-18.10,0,-7.71,0.0,0.0,0,"-1,124,114.66","-1,124,114.66",0,0,0,0,0,,-6.7,0,-7.71,
대우조선해양(주),42660,코스피,2014,1.0,한화오션(주),1,31,33101,기타 운송장비 제조업,2001/02/02,,5.72,0.35,0.0,-1.33,-1.66,12.5,70.86,-27.33,6.79,0,0,0,,,,,0.89,-3.59,-5.47,-2.95,-3.24,-4.94,-22.6,-29.12,-3.47,-5.29,-58.20,-80.42,99.11,103.59,-2.89,-0.58,0.58,-1.01,0.06,0.0,-4.42,105.83,9.14,0.0,0.0,0.51,1.45,4.87,53.27,0.61,1.83,1.93,135.61,,,57.35,,,,"81,379.87","-4,092","-2,927.14",,"-2,925.35",55.44,20.54,124.40,44.05,44.56,11.43,88.57,232.49,389.95,117.52,89.3,70.96,1.26,14.98,0,36.71,513.35,40.79,775.06,543.26,48.36,231.80,0,-6.64,43.04,376.59,-4.01,-10.25,6.17,1.14,59.62,51.17,104.15,-5.6,-11.52,-4.96,-5.64,-6.24,0.9,0.97,6.29,16.19,1.05,37.82,9.65,1.68,2.03,9.73,37.51,528.84,27.80,"1,328.79",42.08,8.67,1.95,2.50,0.79,0.07,0.03,"1,042,817.40",,,,,,,,,5.88,18.42,155.72,6.7,154.44,-54.44,-81.77,"1,042,817.40","-1,010,005.27","1,610,571","89,760.67","96,608",0,"255,883",,5.88,155.72,6.7,
대우조선해양(주),42660,코스피,2015,1.0,한화오션(주),1,31,33101,기타 운송장비 제조업,2001/02/02,,6.45,-6.33,0.0,26.87,6.46,6.45,-0.26,-58.46,-0.85,0,0,0,,,,,-10.2,-13.76,-14.31,-11.49,-11.6,-12.07,-160.6,-132.52,-13.05,-13.57,-182.05,-179.73,110.2,113.76,-6.47,-1.07,0.48,-1.35,0.04,0.0,-11.66,117.43,8.26,0.0,0.0,0.37,1.19,6.52,70.61,0.44,1.04,1.14,-32.29,,,-92.27,,,,"80,032.96","-10,964","-4,368.65",,"-11,009.70",55.43,19.24,124.38,44.77,44.57,3.28,96.72,67.71,"1,359.63",238.29,68.19,55.06,8.05,22.81,0,32.70,"1,618.40",69.76,"2,950.77","2,480.19",78.91,470.58,0,-25.86,48.49,"1,479.37",-22.28,-40.78,-3.99,-0.55,65.72,52.83,105.76,-3.84,-7.66,-3.72,-4.54,-28.41,0.84,0.95,11.67,13.23,0.91,13.86,26.33,1.52,1.9,7.66,47.66,353.85,16.38,76.68,40.55,9.0,1.89,2.56,0.66,0.03,0.03,"-1,047,045.56",,,,,,,,,-5.55,-19.62,-181.61,-6.78,0.0,0.0,0,"-1,047,045.56","-3,124,361.44","1,664,754","74,784.88","97,066",0,"240,711",,-5.55,-181.61,-6.78,
(주)에스제이엠,123700,코스피,2012,1.0,(주)에스제이엠,1,30,33003,자동차 및 트레일러 제조업,2010/05/31,,3.43,5.17,0,24.98,5.36,2.45,9.58,9.14,6.14,-5.41,-10.11,0.51,,,,,27.66,12.75,10.30,15.12,14.98,12.1,19.99,16.21,15.17,12.25,305.98,236.57,72.34,87.25,0.54,-0.13,0.13,-0.68,0.01,22.49,12.26,87.04,19.64,1.64,0.0,0.15,2.48,12.35,137.11,0.63,5.90,5.28,"1,423.55",,,99.31,,,,"12,003.11","1,183","1,233.87",,"1,529.90",65.5,43.18,189.83,37.22,34.5,77.11,22.89,"1,523.55",44.74,41.86,372.71,211.78,55.51,82.67,59.01,254.91,197.48,32.43,29.68,22.79,0.0,6.89,11.09,47.92,5.0,6.49,49.95,100.01,72.3,15.02,56,29.10,85.47,43.9,200.92,10.05,8.70,95,1.18,1.19,1.57,24.01,4.68,12.15,30.04,1.79,3.07,4.27,85.43,10.12,10.69,48.18,4.44,82.24,3.44,3.59,1.38,0,0.01,"62,116.07",,,,,,,,,38.32,117.89,315.93,33.16,52.84,47.16,31.05,"62,116.07","24,883.36","32,822.51",251.31,0,0,"4,150.83",,38.32,315.93,33.16,
(주)에스제이엠,123700,코스피,2013,1.0,(주)에스제이엠,1,30,33003,자동차 및 트레일러 제조업,2010/05/31,,0.15,-4.41,0,-8.43,-5.27,3.0,-14.87,3.66,-2.25,-15.87,-17.04,-40.52,,,,,24.65,10.97,9.05,12.5,12.38,10.21,15.78,12.65,12.51,10.32,257.42,196.26,75.35,89.03,1.19,0.0,-0.01,0.98,0.0,25.58,10.2,88.59,22.43,1.72,0.0,-0.01,2.94,14.71,137.77,-0.05,5.12,3.05,"1,479.30",,,104.59,,,,"11,733",981,"1,719.69",,"1,287.10",67.36,35.69,206.40,43.32,32.64,79.79,20.21,"1,579.30",40.91,39.57,384.55,247.31,59.31,104.34,48.23,264.45,227.76,39.46,25.33,21.96,0.0,3.38,5.41,49.85,2.12,2.66,113.92,"999,999,999",74.98,15.60,58.86,29.74,87.96,70.23,669.52,14.2,12.59,0,1.13,1.14,1.44,23.47,5.24,12.10,30.17,1.7,2.8,4.31,84.59,9.88,11.68,41.79,4.66,78.36,3.36,3.5,1.34,0,0.01,"66,120.95",,,,,,,,,40.73,129.77,381.40,36.11,58.66,41.34,25.06,"66,120.95","22,263.84","38,783.62",-15.79,0,0,"5,092.11",,40.73,381.40,36.11,
(주)에스제이엠,123700,코스피,2014,1.0,(주)에스제이엠,1,30,33003,자동차 및 트레일러 제조업,2010/05/31,,6.59,0.24,0,-1.90,4.29,7.71,14.99,6.10,-14.20,0.55,-5.64,37.56,,,,,29.39,12.86,10.16,12.41,12.04,9.52,15.1,11.38,12.21,9.65,258.83,185.20,70.61,87.14,2.02,0.35,-0.36,0.11,0.01,31.71,9.18,86.06,27.39,3.23,0.0,-0.39,3.05,13.03,141.81,-1.65,1.84,1.80,"1,575.70",,,103.52,,,,"10,067.14",926,693.05,,"1,294.15",68.07,38.1,213.18,42.14,31.93,79.7,20.3,"1,675.70",40.06,38.2,414.57,256.63,79.39,86.07,50.21,250.56,164.63,34.35,25.47,20.60,0.0,4.87,7.52,51.65,1.91,2.39,333.64,"999,999,999",75.19,16.68,72.29,34.45,108.04,53.59,570.88,10.88,11.98,0,0.94,0.95,1.17,20.13,4.62,10.20,35.80,1.38,2.19,3.74,97.47,7.60,11.47,32.97,3.96,92.18,2.9,3.07,1.11,0,0.01,"66,739.58",,,,,,,,,38.57,130.42,377.39,42.48,59.24,40.76,23.91,"66,739.58","23,368.55","39,533.69",-561.89,0,0,"4,403.22",,38.57,377.39,42.48,
(주)에스제이엠,123700,코스피,2015,1.0,(주)에스제이엠,1,30,33003,자동차 및 트레일러 제조업,2010/05/31,,7.36,3.11,0,-13.10,2.05,9.85,-9.36,8.70,14.77,15.84,51.27,36.25,,,,,29.44,12.98,13.30,13.39,13.04,13.37,16.06,16.02,13.43,13.77,299.84,280.15,70.56,87.02,5.03,0.32,-0.31,2.1,0.02,26.12,13.05,83.48,24.03,0.0,0.0,-0.34,2.73,13.92,154.60,-1.67,0,3.90,"1,721.55",,,108.21,,,,"11,554.07","1,401","1,643.90",,"1,499.18",69.65,31.43,229.49,47.76,30.35,82.62,17.38,"1,821.55",36.73,35.18,507.24,347.80,138.38,109.67,39.15,249.09,216.68,44.03,21.03,16.62,0.0,4.41,6.52,55.92,0.0,0,363.71,"999,999,999",78.42,18.67,68.55,30.96,99.11,56.49,0,9.81,10.11,0,1.0,1.03,1.24,23.11,5.35,10.82,33.73,1.46,2.23,4.22,86.59,8.19,13.78,35.39,4.33,84.25,3.23,3.46,1.2,0,0.01,"75,764.17",,,,,,,,,40.78,156.39,496.07,42.02,52,48,31.65,"75,764.17","32,458.70","39,396.78",-563.33,0,0,"4,476.25",,40.78,496.07,42.02,
(주)에스제이엠홀딩스,25530,코스피,2012,1.0,(주)에스제이엠홀딩스,1,45,137105,자동차 및 부품 판매업,1997/02/12,,1.19,5.19,0,24.98,4.71,-0.36,6.11,3.67,7.16,-17.73,-22.36,-15.58,,,,,28.56,12.59,10.70,11.44,10.47,8.9,12.77,7.30,11.33,9.63,320.37,112.20,71.44,87.41,1.25,0.88,-0.88,-0.73,0.01,22.66,8.17,86.67,19.87,1.87,0.0,-0.98,2.54,12.39,133.08,-4.08,5.76,5.22,"1,547.04",,,101.77,,,,"12,722.48",618,"1,403.75",,"1,601.86",68.26,30.24,215.02,47.62,31.74,83.54,16.46,"1,564.54",38,36.31,542.58,378.52,128.24,81.79,37.07,293.33,190.89,27.88,19.71,15.06,0.0,4.65,6.97,55.68,3.96,4.74,45.58,"999,999,999",82.97,25.54,82.71,37.53,111.64,47.53,197.45,7.82,9.46,0,0.83,0.9,1.01,25.44,4.62,13.07,27.93,1.21,1.71,4.12,88.49,9.42,10.72,45.62,4.42,82.66,2.66,3.59,1.01,0,0.01,"62,933.87",,,,,,,,,27.39,117.81,316.35,33.12,53.98,46.02,32.32,"62,933.87","26,295.51","33,972.04","-1,677.15",0,0,"4,335.40",,27.39,316.35,33.12,
(주)에스제이엠홀딩스,25530,코스피,2013,1.0,(주)에스제이엠홀딩스,1,45,137105,자동차 및 부품 판매업,1997/02/12,,0.14,-4.56,0,-8.43,-2.35,1.3,-16.17,1.60,-1.97,-15.94,-21.71,-35.70,,,,,25.71,10.8,8.90,9.52,8.74,7.2,10.36,5.57,9.49,7.82,269.29,87.84,74.29,89.2,1.18,0.75,-0.84,0.98,0.0,25.74,6.53,88.89,20.9,1.92,0.0,-0.88,2.98,14.88,135.50,-4.36,4.50,3.16,"1,572.09",,,103.54,,,,"12,471.89",484,"1,974.85",,"1,346.45",69.04,25.02,223.04,51.77,30.96,85.28,14.72,"1,589.59",36.30,35.52,537.34,402.88,107.01,103.98,30.75,284.67,224.90,36.53,17.26,15.07,0.0,2.19,3.33,56.19,2.15,2.52,90.46,"999,999,999",84.71,26.11,84.76,38.71,113.60,74.48,510.48,10.96,13.54,0,0.81,0.88,0.96,24.94,5.2,13.43,27.19,1.18,1.63,4.27,85.43,9.62,11.78,41.30,4.65,78.52,2.58,3.51,1.0,0,0.01,"63,377.32",,,,,,,,,27.54,122.90,361.29,34.03,58.86,41.14,26.14,"63,377.32","22,311.13","37,300.74","-1,562.41",0,0,"5,327.86",,27.54,361.29,34.03,
(주)에스제이엠홀딩스,25530,코스피,2014,1.0,(주)에스제이엠홀딩스,1,45,137105,자동차 및 부품 판매업,1997/02/12,,4.11,-0.06,0,-1.90,13.19,0.04,14.71,3.48,-13.06,3.10,19.02,55.23,,,,,30.48,12.8,10.45,9.72,8.83,7.2,10.34,6.46,9.79,7.99,277.63,104.55,69.52,87.2,2.58,1.21,-1.23,0.12,0.01,32.05,6.36,85.74,25.7,3.55,0.0,-1.33,3.12,13.47,140.64,-5.8,3.24,2.59,"1,627.35",,,103.04,,,,"10,843.37",576,785.89,,"1,388.13",66.34,28.69,197.13,47.31,33.66,85.43,14.57,"1,644.85",39.40,38.11,567.43,404.61,109.37,87.58,34.83,266.62,166.68,32.85,17.06,13.69,0.0,3.37,5.27,54.65,1.38,1.61,193.93,"999,999,999",84.88,27.23,98.14,46.89,130.75,59.04,625.13,8.6,12.73,0,0.69,0.77,0.81,21.69,4.71,10.98,33.25,1.02,1.39,3.79,96.21,7.65,11.74,33.56,3.98,91.61,2.13,3.13,0.86,0,0.01,"66,070.88",,,,,,,,,27.58,127.96,370.16,40.80,58.25,41.75,25.61,"66,070.88","24,903.38","38,484","-1,993.09",0,0,"4,676.59",,27.58,370.16,40.80,
(주)에스제이엠홀딩스,25530,코스피,2015,1.0,(주)에스제이엠홀딩스,1,45,137105,자동차 및 부품 판매업,1997/02/12,,8.65,3.22,0,"2,133.95",28.17,-1.26,-9.67,4.33,14.33,13.58,42.99,30.36,,,,,30.33,12.72,13.39,10.2,9.42,9.92,11.19,8.90,11.25,11.84,315.33,149.49,69.67,87.28,5.27,0.87,-0.96,2.06,0.01,25.60,9.21,83.63,23.04,0.0,0.0,-1.04,2.75,14.22,154.25,-4.48,1.58,2.47,"1,698.57",,,105.22,,,,"12,397.34",824,"1,819.06",,"1,576.63",60.3,26.25,151.87,44.47,39.7,83.07,16.93,"1,716.07",47.79,43.92,627.98,463.14,164.65,110.66,31.22,275.39,218.74,40.18,20.38,11.56,0.0,8.82,14.45,50.69,4.61,5.55,124.50,"999,999,999",82.57,28.78,85.31,49.69,111.82,44.14,162.09,7.47,10.51,0,0.74,0.88,0.88,24.79,4.69,11.74,31.09,1.17,1.62,4.27,85.57,8.26,13.99,35.87,4.33,84.31,2.01,3.52,1.0,0,0.01,"75,440.06",,,,,,,,,28.98,154.03,488.07,40.75,51.98,48.02,32.85,"75,440.06","33,309.89","39,216.48","-1,770.60",0,0,"4,684.29",,28.98,488.07,40.75,
(주)카스,16920,코스닥,2012,1.0,(주)카스,5,46,74605,도매 및 상품 중개업,1990/01/04,,7.85,21.47,0.0,-2.33,14.30,4.72,-4.82,-3.44,6.43,910.47,0,0,,,,,27.84,3.92,0.93,4.84,4.37,1.03,11.57,2.73,5.16,1.22,59.05,13.94,72.16,96.08,-3.56,-1.36,1.24,-0.71,0,-78.30,2.42,99.64,16.45,0,0.15,1.22,1.41,13.72,138.06,2.23,3.76,4.11,412.98,,,84.32,,,,"7,527.28",72,72.34,,295.27,65.34,33.93,188.49,43.17,34.66,35.80,64.20,501.57,96.82,73.87,123.10,81.33,22.40,113.30,180.83,263.99,170.04,42.92,179.33,148.26,83.33,31.07,90.72,12.26,47.34,132.23,2.37,1.29,29.48,4.13,59.43,30.24,77.41,4.62,6.27,2.97,2.76,3.15,1.12,1.31,2.95,15.05,1.79,11.36,32.12,1.68,2.61,4.73,77.22,6.66,27.80,61.03,4.36,83.76,3.31,5.62,0.95,0.0,0.01,"24,287.14",,,,,,,,,21.44,195.37,"1,335.76",19.95,83.95,16.05,4.64,"24,287.14",444.10,"20,389.06","1,513.76",0,188.02,"1,752.19",,21.44,"1,335.76",19.95,
(주)카스,16920,코스닥,2013,1.0,(주)카스,5,46,74605,도매 및 상품 중개업,1990/01/04,,3.6,13.99,0.0,-2.39,12.74,-1.26,12.40,0.05,1.80,-17.49,-8.01,0,,,,,32.51,3.18,0.84,3.8,3.42,0.9,9.71,2.56,3.95,1.04,48.72,12.82,67.49,96.82,-2.66,-1.65,1.73,-1,0,6.31,2.76,99.49,20.12,0,0.36,1.7,1.35,9.06,76.87,2.87,4.73,4.78,413.24,,,84.21,,,,"7,662.85",66,-292.50,,243.62,62.28,38.63,165.09,38.22,37.72,34.58,65.42,501.82,109.10,61.25,162.12,99.50,13.78,113.23,100.81,258.72,171.41,43.76,189.22,111.11,49.19,78.12,113.19,23.86,46.67,134.97,1.52,1.30,28.47,4.13,59.35,33.71,84.95,-2.32,-3.25,-1.52,-1.44,1.84,1.07,1.24,3.05,15.33,1.66,10.71,34.07,1.68,2.64,4.65,78.57,7,24.35,55.02,4.1,88.99,2.97,4.87,0.98,0.0,0.01,"30,320.11",,,,,,,,,25.83,126.01,"4,277.05",24.46,83.67,16.33,3.42,"30,320.11",647.83,"25,369.83","2,144.65",0,458.80,"1,699.01",,25.83,"4,277.05",24.46,
한국항공우주산업(주),47810,코스피,2012,1.0,한국항공우주산업(주),1,31,33103,기타 운송장비 제조업,2011/06/30,,7.81,7.01,0.0,0,4.21,10.09,22.16,4.95,19.32,19.10,0.93,-4.57,,,,,14.6,8.20,4.82,7.08,6.9,4.06,14.52,8.55,7.29,4.29,25.81,15.20,85.4,91.80,-2.24,-1.65,1.04,-0.61,0.78,19.08,4.94,94.03,19.17,8.15,0.0,1.08,3.64,9.74,74.11,1.67,6.09,4.76,82.11,,,44.55,,,,"15,743.57",760,"4,599.52",,"1,290.44",62.49,29.57,166.62,44.02,37.51,46.89,53.11,182.11,79.99,53.78,206.50,145.44,39.01,64.89,57.33,164.53,"3,063.67",39.44,113.28,64.55,17.69,48.74,70.90,32.23,16.76,35.75,6.52,6.71,21.13,0.82,73.54,45.32,117.08,15.93,50.49,8.46,10.44,7.85,0.84,0.89,1.77,3.15,1.6,11.29,32.33,1.36,1.89,4.83,75.63,190.46,15.57,10.97,10.07,36.26,2.21,3.95,0.92,0.28,0.01,"444,780.72",,,,,,,,,23.5,115.07,684.85,28.98,63.73,36.27,16.64,"444,780.72","91,483.87","283,463.73","16,026.40",0,0,"53,806.72",,23.5,684.85,28.98,
한국항공우주산업(주),47810,코스피,2013,1.0,한국항공우주산업(주),1,31,33103,기타 운송장비 제조업,2011/06/30,,4.41,22.90,0.0,0,17.13,-3.22,2.75,8.33,31.39,-0.97,21.56,52.59,,,,,12.03,6.18,4.48,6.75,6.44,4.67,13.47,9.74,6.88,4.99,25.56,18.48,87.97,93.82,-1.6,-0.49,0.35,-0.14,0.19,2.01,5.03,95.46,16.91,4.49,0.0,0.36,4.01,12.65,70.28,0.69,4.64,4.34,97.28,,,48.76,,,,"20,685.68",924,"2,067.20",,"1,277.92",57.93,31.39,137.68,39.74,42.07,48.66,51.34,197.28,86.46,66.28,158.60,108.82,19.06,26.43,84.96,78.46,392.33,33.68,105.51,75.06,67.34,30.45,69.23,21.4,14.1,28.97,9.64,14.19,24.0,0.97,57.71,38.22,90.42,32.03,116.65,16.44,16.11,17.81,1.04,1.11,2.18,4.14,2.0,15.57,23.44,1.73,2.49,5.69,64.18,127.57,17.49,11.85,12.53,29.13,2.62,4.5,1.11,0.38,0.01,"510,263.43",,,,,,,,,25.82,113.23,472.42,25.31,65.11,34.89,17.71,"510,263.43","92,233.77","332,234.67","6,992.41",0,0,"78,802.58",,25.82,472.42,25.31,
한국항공우주산업(주),47810,코스피,2014,1.0,한국항공우주산업(주),1,31,33103,기타 운송장비 제조업,2011/06/30,,6.72,0.16,0.0,0,3.28,9.23,20.53,4.08,15.49,52,46.99,24.10,,,,,13.58,8.13,5.68,9.56,9.27,6.48,19.3,13.50,10.08,7.05,38.85,27.17,86.42,91.87,-0.88,-0.34,0.31,-0.03,0.16,21.56,6.84,92.88,17.41,3.99,0.0,0.33,3.79,12.38,75.4,0.69,3.64,4.13,105.32,,,50.72,,,,"23,889.31","1,358","-1,164.22",,"1,942.46",59.28,34.64,145.60,38.75,40.72,47.45,52.55,205.32,85.81,56.4,213.14,139.31,2.14,36.23,65.26,108.20,"1,419.96",33.48,110.75,58.62,28.43,52.13,78.60,31.47,17.33,36.51,14.23,24.08,24.34,1.05,51.42,36.29,83.04,3.97,12.04,2.09,1.89,25.89,1.14,1.24,2.37,4.78,2.19,17.51,20.85,1.94,2.91,5.88,62.1,132.11,15.01,13.02,18.49,19.74,2.76,4.71,1.26,0.15,0.02,"643,106.45",,,,,,,,,30.49,138.16,478.51,27.62,59.64,40.36,20.58,"643,106.45","168,769.89","383,536.50","7,312.75",0,0,"83,487.30",,30.49,478.51,27.62,
한국항공우주산업(주),47810,코스피,2015,1.0,한국항공우주산업(주),1,31,33103,기타 운송장비 제조업,2011/06/30,,33.15,2.52,0.0,0,4.28,52.98,7.79,21.36,30.54,100.54,95.74,105.20,,,,,16.72,12.49,8.53,15.6,15.44,10.54,34.28,23.40,16.62,11.34,77.91,53.18,83.28,87.51,-1.21,0.75,0.37,1.11,0.14,24.45,11.0,89.03,14.48,3.93,0.0,0.4,3.22,12.74,76.92,0.82,3.30,3.65,149.18,,,59.35,,,,"31,184.75","2,659",614.02,,"3,895.39",68.11,24.41,213.60,51.49,31.89,43.25,56.75,249.18,73.73,47.46,207.58,156.91,1.16,42.39,47.10,85.48,696.92,49.60,131.23,75.87,27.88,55.36,67.82,35.3,16.08,37.18,25.47,31.80,25.89,1.49,52.03,28.85,86.72,-1.68,-5.94,-0.95,-0.88,34.08,1.24,1.33,2.74,6.24,2.25,16.15,22.61,1.92,2.69,6.76,54.03,154.11,15.87,16.75,17.13,21.30,3.47,6.07,1.3,0.13,0.02,"847,277.72",,,,,,,,,30.17,172.28,676.34,27.87,47.61,52.39,30.59,"847,277.72","343,072.85","403,419.70","11,140.35",0,0,"89,644.82",,30.17,676.34,27.87,
