기업명,기업코드,기업유형,결산기,이익 과대계상 (비용 과소계상),유형,유형,유형,유형,유형
(주)신흥,004080,코스피,2017,1,A-2,,,,
(주)신흥,004080,코스피,2018,1,A-2,,,,
(주)신흥,004080,코스피,2019,1,A-2,,,,
(주)다이나믹디자인,145210,코스피,2013,1,A-1,,,,
(주)다이나믹디자인,145210,코스피,2014,1,A-1,,,,
(주)다이나믹디자인,145210,코스피,2015,1,A-1,A-6,,,
(주)다이나믹디자인,145210,코스피,2016,1,A-1,A-10,A-6,,
(주)다이나믹디자인,145210,코스피,2017,1,A-1,A-10,,,
(주)골드퍼시픽(케이바이오),038530,코스닥,2016,1,A-1,,,,
(주)골드퍼시픽,038530,코스닥,2017,1,A-1,,,,
(주)골드퍼시픽,038530,코스닥,2018,1,A-1,,,,
(주)골드퍼시픽,038530,코스닥,2019,1,A-1,,,,
(주)현담,,비상장,2020,0,,,,,
(주)메디포럼,,비상장,2018,1,A-1,,,,
(주)메디포럼,,비상장,2019,1,A-1,,,,
(주)메디포럼,,비상장,2020,1,A-1,,,,
(주)디에이테크놀러지(타이거일렉),219130,코스닥,2018,1,A-10,,,,
(주)디에이테크놀러지,219130,코스닥,2019,1,A-10,,,,
도부마스크(주),227420,코넥스,2017,1,A-1,A-2,,,
도부마스크(주),227420,코넥스,2018,1,A-1,A-2,,,
도부마스크(주),227420,코넥스,2019,1,A-1,A-2,A-6,,
(주)한컴프론티스,,비상장,2019,1,A-1,,,,
(주)광림,014200,코스닥,2019,1,A-5,,,,
퀀타피아(주)(코드네이처(주)),078940,코스닥,2018,1,A-1,,,,
두산에너빌리티(주),034020,코스피,2017,1,A-1,A-6,A-10,,
두산에너빌리티(주),034020,코스피,2018,1,A-1,A-6,A-10,,
두산에너빌리티(주),034020,코스피,2019,1,A-1,A-6,A-10,,
(주)팬택씨앤아이엔지니어링(에스케이씨인프라서비스(주)),,비상장,2019,1,A-1,A-3,,,
(주)팬택씨앤아이엔지니어링(에스케이씨인프라서비스(주)),,비상장,2020,1,A-1,A-3,,,
에스케이엔펄스(주)(에스케이텔레시스(주)),,비상장,2018,1,A-2,,,,
에스케이엔펄스(주)(에스케이텔레시스(주)),,비상장,2019,1,A-2,,,,
에스케이엔펄스(주)(에스케이텔레시스(주)),,비상장,2020,1,A-2,,,,
(주)씨엔플러스,115530,코스닥,2018,1,A-1,,,,
(주)씨엔플러스,115530,코스닥,2019,1,A-13,,,,
(주)씨엔플러스,115530,코스닥,2020,1,A-13,,,,
계양전기(주),012200,코스피,2016,1,A-6,,,,
계양전기(주),012200,코스피,2017,1,A-6,,,,
계양전기(주),012200,코스피,2018,1,A-6,,,,
계양전기(주),012200,코스피,2019,1,A-6,,,,
계양전기(주),012200,코스피,2020,1,A-6,,,,
(주)피노텍,150440,코넥스,2018,0,,,,,
(주)피노텍,150440,코넥스,2019,0,,,,,
(주)지란지교시큐리티,208350,코스닥,2017,1,A-1,,,,
(주)지란지교시큐리티,208350,코스닥,2018,1,A-1,,,,
(주)지란지교시큐리티,208350,코스닥,2019,1,A-1,,,,
(주)지란지교시큐리티,208350,코스닥,2020,1,A-1,,,,
에스비더블유생명과학(주)(퓨처코어),151910,코스닥,2018,1,A-10,A-6,,,
에스비더블유생명과학(주),151910,코스닥,2019,1,A-10,A-6,,,
에스비더블유생명과학(주),151910,코스닥,2020,1,A-6,,,,
에스비더블유생명과학(주),151910,코스닥,2021,1,A-6,,,,
한솔아이원스(주),114810,코스닥,2013,1,A-3,A-5,,,
한솔아이원스(주),114810,코스닥,2014,1,A-3,A-5,,,
한솔아이원스(주),114810,코스닥,2015,1,A-3,A-5,,,
한솔아이원스(주),114810,코스닥,2016,1,A-3,A-5,,,
한솔아이원스(주),114810,코스닥,2017,1,A-3,A-5,,,
한솔아이원스(주),114810,코스닥,2018,1,A-3,A-1,A-5,,
한솔아이원스(주),114810,코스닥,2019,1,A-3,A-1,A-5,,
한솔아이원스(주),114810,코스닥,2020,1,A-3,A-1,A-5,,
한솔아이원스(주),114810,코스닥,2021,1,A-3,A-5,,,
제이더블유바이오사이언스(주),,비상장,2016,1,A-1,A-10,,,
제이더블유바이오사이언스(주),,비상장,2017,1,A-1,A-10,,,
제이더블유바이오사이언스(주),,비상장,2018,1,A-1,A-10,,,
제이더블유바이오사이언스(주),,비상장,2019,1,A-1,A-10,,,
(주)디엘팜,,비상장,2014,1,A-1,,,,
(주)디엘팜,,비상장,2015,1,A-1,A-2,,,
(주)디엘팜,,비상장,2016,1,A-1,A-2,,,
(주)디엘팜,,비상장,2017,1,A-1,A-2,,,
(주)디엘팜,,비상장,2018,1,A-1,A-2,,,
(주)디엘팜,,비상장,2019,1,A-1,A-2,,,
(주)디엘팜,,비상장,2020,1,A-1,A-2,,,
(주)디엘팜,,비상장,2021,1,A-1,A-2,,,
아시아나항공(주),020560,코스피,2015,0,,,,,
아시아나항공(주),020560,코스피,2016,0,,,,,
금호고속(주),,비상장,2015,0,,,,,
금호고속(주),,비상장,2016,0,,,,,
금호고속(주),,비상장,2017,1,A-5,,,,
아시아나아이디티(주)(아시아나IDT),267850,코스피,2015,0,,,,,
아시아나에어포트(주),,비상장,2015,0,,,,,
에어부산(주),298690,코스피,2015,0,,,,,
(주)뉴메디팜,,비상장,2017,1,A-2,,,,
동양물산기업(주)(TYM),002900,코스피,2015,1,A-9,A-10,,,
(주)와이오엠,066430,코스닥,2014,1,A-2,,,,
(주)와이오엠,066430,코스닥,2015,1,A-2,,,,
(주)와이오엠,066430,코스닥,2016,0,,,,,
세신버팔로(주),110660,코넥스,2014,1,A-1,A-2,A-9,,
세신버팔로(주),110660,코넥스,2015,1,A-1,A-2,A-9,,
(주)원일산업,,비상장,2014,1,A-9,,,,
(주)원일산업,,비상장,2015,1,A-9,,,,
(주)원일산업,,비상장,2016,1,A-9,,,,
제이비어뮤즈먼트(주)(글로앤웰),035480,코스닥,2012,1,A-3,,,,
제이비어뮤즈먼트(주),035480,코스닥,2013,1,A-3,,,,
제이비어뮤즈먼트(주),035480,코스닥,2014,1,A-3,,,,
제이비어뮤즈먼트(주),035480,코스닥,2015,1,A-3,A-1,A-6,,
제이비어뮤즈먼트(주),035480,코스닥,2016,1,A-3,A-1,A-6,,
제이비어뮤즈먼트(주),035480,코스닥,2017,1,A-3,,,,
(주)에이케이벨루가,,비상장,2013,1,A-3,,,,
(주)에이케이벨루가,,비상장,2014,1,A-3,,,,
현대건설(주),000720,코스피,2013,1,A-1,,,,
현대건설(주),000720,코스피,2014,1,A-1,,,,
현대건설(주),000720,코스피,2015,1,A-1,A-9,,,
현대건설(주),000720,코스피,2016,1,A-1,A-9,,,
(주)크레아,,비상장,2013,1,A-5,,,,
(주)크레아,,비상장,2014,1,A-5,,,,
(주)크레아,,비상장,2015,1,A-5,,,,
삼성바이오로직스(주),207940,코스피,2012,1,A-11,,,,
삼성바이오로직스(주),207940,코스피,2013,1,A-11,,,,
삼성바이오로직스(주),207940,코스피,2014,1,A-11,,,,
삼성바이오로직스(주),207940,코스피,2015,1,A-5,,,,
삼성바이오로직스(주),207940,코스피,2016,1,A-5,,,,
삼성바이오로직스(주),207940,코스피,2017,1,A-5,,,,
(주)제낙스,065620,코스닥,2012,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2013,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2014,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2015,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2016,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2017,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2018,1,A-1,,,,
나노캠텍(주),091970,코스닥,2018,0,,,,,
유진기업(주),023410,코스닥,2014,1,A-9,,,,
유진기업(주),023410,코스닥,2015,1,A-9,,,,
(주)청호컴넷(청호ICT),012600,코스피,2015,0,,,,,
(주)씨씨에스충북방송(씨씨에스),066790,코스닥,2014,1,A-3,A-5,,,
(주)씨씨에스충북방송,066790,코스닥,2015,1,A-3,A-5,,,
(주)씨씨에스충북방송,066790,코스닥,2016,1,A-3,A-5,,,
(주)씨씨에스충북방송,066790,코스닥,2017,1,A-3,A-5,,,
(주)리젠,038340,코스닥,2014,1,A-5,,,,
(주)리젠,038340,코스닥,2015,1,A-5,,,,
(주)에이모션,031860,코스닥,2013,0,,,,,
(주)에이모션,031860,코스닥,2014,0,,,,,
성안합섬(주),,비상장,2016,1,A-1,,,,
성안합섬(주),,비상장,2017,1,A-1,,,,
성안합섬(주),,비상장,2018,1,A-1,,,,
성안합섬(주),,비상장,2019,1,A-1,A-5,,,
성안합섬(주),,비상장,2020,1,A-1,A-5,A-10,A-2,
현대중공업터보기계(주),,비상장,2017,0,,,,,
현대중공업터보기계(주),,비상장,2018,0,,,,,
(주)모뉴엘,,비상장,2012,1,A-1,,,,
(주)모뉴엘,,비상장,2013,1,A-1,,,,
잘만테크(주),,비상장,2012,1,A-1,,,,
잘만테크(주),,비상장,2013,1,A-1,,,,
(주)로켓모바일,043710,코스닥,2012,0,,,,,
한생산업(주),,비상장,2012,1,A-9,A-3,,,
